Grupo  ,Subgrupo,Nombre ,Energía,Humedad,Proteína,Grasa,Carbohidratos,Fibra cruda,Ceniza,Calcio (Ca),Fósforo (P),Hierro (Fe),Vit A,Tiamina (B1),Riboflavina (B2),Niacina (B3),Vit C
Grupo  ,Subgrupo,del alimento,Kcal,gr,gr,gr,gr,gr,gr,mg,mg,mg,ug,mg,mg,mg,mg
Cereales,Cereales,Arroz grano largo,356,10.7,6,0.46,82.06,0.65,0.78,10.2,110.7,1.42,0,0.08,0.07,2.1,0
Cereales,Cereales,Arroz carolina,347,13.1,7.21,0.42,78.55,0.6,0.72,10,117,1.56,0,0.06,0.03,2.06,0
Cereales,Cereales,Arroz perla,352,11.23,7.82,0.24,79.73,0.72,0.98,11.7,105,1.56,0,0.06,0.03,2.06,0
Cereales,Cereales,Arroz corriente,353,11.55,6,0.46,81.21,0.65,0.78,11.5,113,1.45,0,0.08,0.07,2.1,0
Cereales,Cereales,Arroz integral,355,10.95,8.2,0.48,79.55,0.79,0.82,14.3,238.2,2.65,0,0.23,0.08,4.2,0
Cereales,Cereales,Arroz precocido,352,12.04,6.95,0.6,79.73,0.64,0.69,15.8,118.2,2.06,0,0.41,1.02,3.02,0
Cereales,Cereales,Amaranto,382,11.2,13.2,7,66.5,6.6,2.1,249.3,459,6.6,0,0.31,0.02,0.4,0
Cereales,Cereales,Amaranto tostado,389,9.13,12.97,6.74,69.01,4.66,2.15,250.3,468.5,6.8,0,0.01,0.01,1.22,0
Cereales,Cereales,Avena comercial,376,9.87,13.86,4.68,69.67,1.54,1.92,52.7,408,4.3,0,0.64,0.46,1.25,0
Cereales,Cereales,Avena con cascara,363,10.8,11.6,4.8,68.4,16.34,4.4,58.4,353,5.3,0,0.69,0.48,1.92,0
Cereales,Cereales,Avena laminada,365,9.88,13,4.5,68.21,1.3,4.41,54.2,397,4.35,0,0.54,0.35,1,0
Cereales,Cereales,Cañahua gris,358,10.91,14.22,4.3,65.57,9,5,122,372,13,0,0.45,0.06,1.01,0
Cereales,Cereales,Cañahua parda,352,11.79,14.06,3.88,65.15,8.9,5.2,128.2,361,12.8,0,0.54,0.25,1,0
Cereales,Cereales,Cebada grano entero,357,9.51,11.8,1.12,74.99,6.58,2.58,54,323,5.8,3.52,0.25,0.18,6.25,0
Cereales,Cereales,Cebada laminada,359,10.5,9.9,1.08,77.34,0.8,1.18,91,283.5,4.6,0,0.04,0.03,3.2,0
Cereales,Cereales,Maíz  (frangollo),370,10,7.82,3.01,77.97,1,1.2,8,210,3,0,0,0,0,0
Cereales,Cereales,Maíz amarillo entero,372,10.4,9.33,3.9,74.77,2.47,1.6,7,212,2.51,70.56,0.24,0.25,2.68,0
Cereales,Cereales,Maíz blanco palta waltacu,367,11.26,7.44,3.56,76.26,2.78,1.48,8,268,1.7,1.22,0.16,0.14,2,0
Cereales,Cereales,Maíz blanco chuncula,379,9.36,8.32,4.61,76.03,2.81,1.68,8.1,306,2.1,1.23,0.17,0.14,2.75,0
Cereales,Cereales,Maíz blanco chuspillo,375,10.14,9.91,4.23,74.24,3.06,1.48,12,249,2.8,1.01,0.25,0.15,2.81,0
Cereales,Cereales,Maíz blanco uchuquilla,373,10.8,8.59,4.26,75.11,2.17,1.24,9,226,2.2,1.02,0.14,0.15,3.31,0
Cereales,Cereales,Maíz blanco chuspillo tostado,386,8.02,8.61,4.97,76.73,4.11,1.66,10,264,3.3,1.01,0.18,1.17,2.22,0
Cereales,Cereales,Maíz blanco trillado,367,12.2,8.4,4.1,74.1,2.4,1.2,7.2,171,2.7,0,0.2,0.18,1.6,0
Cereales,Cereales,Maíz blanco pelado,372,10.37,6.44,3.9,77.77,1.53,1.54,51,266,3.21,1.94,0.18,0.04,1.87,0
Cereales,Cereales,Maíz amarillo tiraque,371,11.12,7.76,4.22,75.42,2.44,1.48,9,296,3.1,80.25,0.15,0.16,2.5,0
Cereales,Cereales,Maíz amarillo altiplano,372,10.4,9.5,4.15,74.17,3.36,1.78,13,322,3.5,70.26,0.18,0.12,2.56,0
Cereales,Cereales,Maíz amarillo cubano,371,10.45,9.33,3.9,74.72,2.47,1.6,7,164,3.56,70.65,0.24,0.25,2.68,0
Cereales,Cereales,Maíz morado,365,11.4,7.3,3.4,76.2,2.23,1.72,12.2,322,2.2,2.23,0.38,0.22,2.81,0
Cereales,Cereales,Maíz jankaquipa,374,10.91,9.04,4.82,73.65,2.64,1.58,11,288,2.8,2.1,0.17,0.19,2.94,0
Cereales,Cereales,Quinua coitu,375,10.2,13.45,5.42,68.12,3.12,2.81,102.2,250,3.1,0,0.25,0.23,1.25,0
Cereales,Cereales,Quinua pasancatta,381,9.74,10.62,6.32,70.33,3.58,2.99,117.2,247,4.2,0,0.22,0.22,1.12,0
Cereales,Cereales,Quinua real,374,11.2,12.46,6.32,66.91,4.9,3.11,119.3,275.2,5.7,0,0.37,0.46,1.06,0
Cereales,Cereales,Quinua dulce,368,11.7,11.68,5.23,68.46,3.94,2.93,115,247.2,5.4,0,0.26,0.25,1.06,0
